 
 
  Energy      1          4.499 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     7     1.0000       4.499
 
  Energy      2          7.231 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    5   ->     7     1.0000       8.024
    3   ->     9     0.0036      21.838
    2   ->     8     0.0020      24.356
    1   ->    10     0.0008      57.398
    4   ->    10     0.0008      43.068
    4   ->     8     0.0005      20.331
 
  Energy      3          8.700 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    4   ->     7     1.0000       8.700
 
  Energy      4          9.321 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    3   ->     7     1.0000       9.321
 
  Energy      5         12.724 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    2   ->     7     1.0000      12.724
 
  Energy      6         15.587 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     8     0.9999      16.131
    3   ->     8     0.0157      20.952
    2   ->     9     0.0048      25.242
    4   ->     9     0.0042      21.217
 
  Energy      7         16.395 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     9     0.9993      17.017
    3   ->     9     0.0253      21.838
    4   ->     8     0.0217      20.331
    2   ->     8     0.0187      24.356
    1   ->     8     0.0002      34.661
 
  Energy      8         19.656 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    5   ->     8     1.0000      19.656
 
  Energy      9         19.699 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    4   ->     8     0.9626      20.331
    3   ->     9     0.2574      21.838
    2   ->     8     0.0727      24.356
    6   ->     9     0.0443      17.017
    5   ->     7     0.0006       8.024
    1   ->     8     0.0005      34.661
    4   ->    10     0.0005      43.068
    1   ->    10     0.0004      57.398
 
  Energy     10         20.315 eV   T
 
  Transition         Weight       KS [eV]
 =============================================
    3   ->     8     0.9889      20.952
    4   ->     9     0.1470      21.217
    2   ->     9     0.0169      25.242
    6   ->     8     0.0145      16.131
    1   ->     9     0.0001      35.547
 
  Energy      1          4.499 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     7     1.0000       4.499
 
  Energy      2          8.700 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    4   ->     7     1.0000       8.700
 
  Energy      3          9.321 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    3   ->     7     1.0000       9.321
 
  Energy      4          9.838 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    5   ->     7     0.9994       8.024
    6   ->     9     0.0324      17.017
    1   ->    10     0.0060      57.398
    4   ->    10     0.0059      43.068
    4   ->     8     0.0021      20.331
    3   ->     9     0.0018      21.838
    2   ->    10     0.0005      47.093
    2   ->     8     0.0003      24.356
 
  Energy      5         12.724 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    2   ->     7     1.0000      12.724
 
  Energy      6         16.750 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     8     0.9994      16.131
    3   ->     8     0.0333      20.952
    4   ->     9     0.0088      21.217
    2   ->     9     0.0082      25.242
 
  Energy      7         17.971 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    6   ->     9     0.9986      17.017
    4   ->     8     0.0511      20.331
    2   ->     8     0.0106      24.356
    5   ->     7     0.0063       8.024
    4   ->    10     0.0031      43.068
    1   ->    10     0.0028      57.398
    3   ->     9     0.0016      21.838
    2   ->    10     0.0002      47.093
 
  Energy      8         19.656 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    5   ->     8     1.0000      19.656
 
  Energy      9         20.542 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    5   ->     9     1.0000      20.542
 
  Energy     10         20.707 eV   S
 
  Transition         Weight       KS [eV]
 =============================================
    4   ->     8     0.9989      20.331
    3   ->     9     0.0309      21.838
    6   ->     9     0.0278      17.017
    2   ->     8     0.0199      24.356
    4   ->    10     0.0013      43.068
    5   ->     7     0.0011       8.024
    1   ->    10     0.0011      57.398
